Trial,date,Observer,Treatment,Predicted Side,Other side,total found,LocationMira,LocationSnail,AllovSym,LabField
1,6/20/2019,Steven,BSvNo,4,7,11,Kanyi,Kanyi,Sym,Lab
2,6/20/2019,Steven,BSvNo,9,4,13,Kanyi,Kanyi,Sym,Lab
3,6/20/2019,Steven,BSvNo,3,1,4,Kanyi,Kanyi,Sym,Lab
4,6/20/2019,Steven,BSvNo,8,4,12,Kanyi,Kanyi,Sym,Lab
5,6/20/2019,Steven,BSvNo,7,6,13,Kanyi,Kanyi,Sym,Lab
6,6/20/2019,Chris,BSvNo,9,5,14,Kanyi,Kanyi,Sym,Lab
7,6/20/2019,Chris,BSvNo,8,1,9,Kanyi,Kanyi,Sym,Lab
8,6/20/2019,Chris,BSvNo,5,10,15,Kanyi,Kanyi,Sym,Lab
9,6/20/2019,Chris,BSvNo,9,6,15,Kanyi,Kanyi,Sym,Lab
10,6/20/2019,Chris,BSvNo,7,3,10,Kanyi,Kanyi,Sym,Lab
11,6/22/2019,Steven,BSvNo,9,4,13,Kanyi,Kanyi,Sym,Lab
12,6/22/2019,Steven,BSvNo,11,2,13,Kanyi,Kanyi,Sym,Lab
13,6/22/2019,Steven,BSvNo,8,7,15,Kanyi,Kanyi,Sym,Lab
14,6/22/2019,Steven,BSvNo,9,4,13,Kanyi,Kanyi,Sym,Lab
15,6/22/2019,Steven,BSvNo,12,2,14,Kanyi,Kanyi,Sym,Lab
16,6/24/2019,Steven,BSvNo,10,3,13,Kanyi,Kanyi,Sym,Lab
17,6/24/2019,Steven,BSvNo,9,6,15,Kanyi,Kanyi,Sym,Lab
18,6/24/2019,Steven,BSvNo,9,5,14,Kanyi,Kanyi,Sym,Lab
19,6/24/2019,Steven,BSvNo,12,3,15,Kanyi,Kanyi,Sym,Lab
20,6/24/2019,Steven,BSvNo,9,4,13,Kanyi,Kanyi,Sym,Lab
21,6/22/2019,Chris,BSvNo,9,3,12,Kanyi,Kanyi,Sym,Lab
22,6/22/2019,Chris,BSvNo,9,5,14,Kanyi,Kanyi,Sym,Lab
23,6/22/2019,Chris,BSvNo,8,4,12,Kanyi,Kanyi,Sym,Lab
24,6/22/2019,Chris,BSvNo,11,4,15,Kanyi,Kanyi,Sym,Lab
25,7/5/2019,Steven,BSvNo,12,3,15,Asao,Field,Allo,Field
26,7/6/2019,Steven,BSvNo,12,3,15,Asao,Field,Allo,Field
27,7/6/2019,Steven,BSvNo,12,3,15,Asao,Field,Allo,Field
28,7/6/2019,Steven,BSvNo,6,8,14,Asao,Field,Allo,Field
29,7/6/2019,Steven,BSvNo,8,7,15,Asao,Field,Allo,Field
30,7/6/2019,Steven,BSvNo,11,3,14,Asao,Field,Allo,Field
31,7/6/2019,Chris,BSvNo,12,3,15,Asao,Field,Allo,Field
32,7/6/2019,Chris,BSvNo,9,5,14,Asao,Field,Allo,Field
33,7/6/2019,Chris,BSvNo,10,5,15,Asao,Field,Allo,Field
34,7/6/2019,Chris,BSvNo,13,2,15,Asao,Field,Allo,Field
35,7/6/2019,Chris,BSvNo,12,3,15,Asao,Field,Allo,Field
36,7/6/2019,Chris,BSvNo,12,3,15,Asao,Field,Allo,Field
37,7/12/2019,Steven,BPvNo ,7,8,15,Kanyi,Field,Allo,Field
38,7/16/2019,Steven,BPvNo ,12,3,15,Kanyi,Field,Allo,Field
39,7/16/2019,Steven,BPvNo ,9,5,14,Kanyi,Field,Allo,Field
40,7/17/2019,Steven,BPvNo ,10,4,14,Kanyi,Field,Allo,Field
41,7/19/2019,Steven,BPvNo ,13,2,15,Kanyi,Field,Allo,Field
42,7/19/2019,Steven,BPvNo ,10,4,14,Kanyi,Field,Allo,Field
43,7/19/2019,Steven,BPvNo ,11,3,14,Kanyi,Field,Allo,Field
44,7/12/2019,Chris,BPvNo ,10,5,15,Kanyi,Field,Allo,Field
45,7/12/2019,Chris,BPvNo ,12,3,15,Kanyi,Field,Allo,Field
46,7/16/2019,Chris,BPvNo ,10,5,15,Kanyi,Field,Allo,Field
47,7/16/2019,Chris,BPvNo ,11,3,14,Kanyi,Field,Allo,Field
48,7/17/2019,Chris,BPvNo ,13,1,14,Kanyi,Field,Allo,Field
49,7/19/2019,Chris,BPvNo ,13,2,15,Kanyi,Field,Allo,Field
50,7/19/2019,Chris,BPvNo ,12,3,15,Kanyi,Field,Allo,Field
51,7/19/2019,Chris,BPvNo ,10,1,11,Kanyi,Field,Allo,Field
52,7/8/2019,Steven,BPvNo ,14,0,14,Asao,Field,Sym,Field
53,7/8/2019,Steven,BPvNo ,11,4,15,Asao,Field,Sym,Field
54,7/8/2019,Steven,BPvNo ,14,1,15,Asao,Field,Sym,Field
55,7/8/2019,Steven,BPvNo ,11,4,15,Asao,Field,Sym,Field
56,7/8/2019,Steven,BPvNo ,9,5,14,Asao,Field,Sym,Field
57,7/8/2019,Steven,BPvNo ,8,7,15,Asao,Field,Sym,Field
58,7/10/2019,Steven,BPvNo ,10,5,15,Asao,Field,Sym,Field
59,7/8/2019,Chris,BPvNo ,12,1,13,Asao,Field,Sym,Field
60,7/8/2019,Chris,BPvNo ,12,3,15,Asao,Field,Sym,Field
61,7/8/2019,Chris,BPvNo ,11,3,14,Asao,Field,Sym,Field
62,7/8/2019,Chris,BPvNo ,13,2,15,Asao,Field,Sym,Field
63,7/8/2019,Chris,BPvNo ,14,1,15,Asao,Field,Sym,Field
64,7/8/2019,Chris,BPvNo ,13,1,14,Asao,Field,Sym,Field
65,7/10/2019,Chris,BPvNo ,12,3,15,Asao,Field,Sym,Field
66,6/21/2019,Steven,BCvNo,8,4,12,Kanyi,Kanyi,Sym,Lab
67,6/21/2019,Steven,BCvNo,5,9,14,Kanyi,Kanyi,Sym,Lab
68,6/21/2019,Steven,BCvNo,10,4,14,Kanyi,Kanyi,Sym,Lab
69,6/21/2019,Steven,BCvNo,8,3,11,Kanyi,Kanyi,Sym,Lab
70,6/21/2019,Steven,BCvNo,9,6,15,Kanyi,Kanyi,Sym,Lab
71,6/21/2019,Steven,BCvNo,4,11,15,Kanyi,Kanyi,Sym,Lab
72,6/21/2019,Steven,BCvNo,11,1,12,Kanyi,Kanyi,Sym,Lab
73,6/21/2019,Chris,BCvNo,11,4,15,Kanyi,Kanyi,Sym,Lab
74,6/21/2019,Chris,BCvNo,9,4,13,Kanyi,Kanyi,Sym,Lab
75,6/21/2019,Chris,BCvNo,13,1,14,Kanyi,Kanyi,Sym,Lab
76,6/21/2019,Chris,BCvNo,8,2,10,Kanyi,Kanyi,Sym,Lab
77,6/21/2019,Chris,BCvNo,6,7,13,Kanyi,Kanyi,Sym,Lab
78,7/7/2019,Steven,BCvNo,12,3,15,Asao,Kanyi,Allo ,Field
79,7/7/2019,Steven,BCvNo,8,7,15,Asao,Kanyi,Allo ,Field
